store_name,date,type,floor,enter_cnt,exit_cnt,enter_rate,watcher_cnt,female,ageless16,age17to30,age31to45,age46to60,bodyfat,bodynormal,bodythin,customer,employee,hs_baldhead,hs_hat,hs_glasses
Pandora,2021-02-18,fashions,L1,160,146,0.079051383,123,0.761438,0.0718954,0.545752,0.375817,0.00653595,0.0294118,0.885621,0.0849673,1,0,0,0.0261438,0.0228758
NanluoFeiMao,2021-02-10,kids & babies,L5,959,712,0.077897815,1660,0.20766,0.13465,0.155595,0.648115,0.0616397,0.0095751,0.966487,0.0239378,0.999402,0.000598444,0.000598444,0.00897666,0.0149611
NIO,2021-02-05,kids & babies,L1,470,431,0.018574138,377,0.483907,0.140955,0.300777,0.513874,0.0443951,0.0421754,0.875694,0.082131,1,0,0,0.0588235,0.0277469
Vowsoo,2021-02-05,kids & babies,L3,97,85,0.015831565,284,0.368132,0.0604396,0.461538,0.384615,0.0934066,0.00549451,0.967033,0.0274725,0.989011,0.010989,0,0,0.0164835
KT World,2021-02-08,fashions,B1,606,452,0.024210947,2101,0.329868,0.0387524,0.3431,0.584121,0.0340265,0.0359168,0.951796,0.0122873,1,0,0,0.0226843,0.0094518
Siyuehetun,2021-02-28,kids & babies,L6,122,58,0.024072612,225,0.4,0,0.494444,0.477778,0.0277778,0.0111111,0.916667,0.0722222,0.994444,0.00555556,0,0.05,0.111111
ARIOSE years,2021-02-05,accessories,L2,160,96,0.036363636,341,0.609375,0.0273437,0.503906,0.417969,0.0507812,0.03125,0.9375,0.03125,1,0,0,0.0507813,0.0625
Asics,2021-02-03,accessories,L4,118,116,0.038373984,175,0.555556,0,0.282051,0.666667,0.0512821,0.0299145,0.944444,0.025641,1,0,0,0.0811966,0.106838
OSIM,2021-02-10,consumer electronics,L4,175,145,0.024312309,633,0.759375,0.128125,0.284375,0.5375,0.05,0.015625,0.896875,0.0875,1,0,0,0.015625,0.0375
KKV,2021-02-04,fashions,B2,363,1543,0.026835218,1263,0.604932,0.0146905,0.28489,0.651626,0.0487933,0.019937,0.975341,0.00472193,0.994229,0.00577125,0.00104932,0.0440714,0.023085
PERFECT DIARY,2021-02-16,kids & babies,B1,5578,4240,0.042179607,2858,0.734162,0.0454268,0.513343,0.374618,0.0666124,0.0317784,0.945814,0.0224078,0.996537,0.00346303,0.000407415,0.0452231,0.0252597
TOMMY HILFIGER,2021-02-04,facilities,L1,80,111,0.020607934,541,0.534031,0.0157068,0.575916,0.366492,0.0418848,0.0418848,0.874346,0.0837696,1,0,0,0.078534,0.0994764
FILA FUSION,2021-02-03,fashions,B1,353,309,0.026485594,634,0.548338,0.0060423,0.483384,0.448641,0.0619335,0.0332326,0.953172,0.0135952,1,0,0,0.0513595,0.0558912
BOYLONDON,2021-02-13,accessories,B1,223,132,0.0062341,670,0.211268,0.0112676,0.225352,0.732394,0.0309859,0,1,0,1,0,0,0.0056338,0
AAPE,2021-02-05,accessories,L1,255,195,0.050117925,611,0.306667,0.0111111,0.673333,0.277778,0.0377778,0.0311111,0.946667,0.0222222,1,0,0,0.0977778,0.0222222
Vowsoo,2021-02-08,kids & babies,L3,178,147,0.022446406,429,0.498462,0.0276923,0.406154,0.430769,0.135385,0.00615385,0.963077,0.0307692,0.950769,0.0492308,0,0.0153846,0.00307692
Siyuehetun,2021-02-01,kids & babies,L6,39,23,0.019061584,408,0.387097,0.016129,0.5,0.451613,0.0322581,0.0483871,0.887097,0.0645161,1,0,0,0.0483871,0.0645161
gb,2021-02-04,fashions,L3,129,136,0.013512098,373,0.49434,0.113208,0.245283,0.573585,0.0679245,0.00754717,0.901887,0.090566,0.996226,0.00377358,0.00377358,0.0226415,0.00377358
EVISUKURO,2021-02-04,fashions,L1,207,204,0.01812927,1759,0.420925,0.0754258,0.489051,0.379562,0.0559611,0.00729927,0.975669,0.0170316,0.997567,0.00243309,0,0.0413625,0.00729927
NIO,2021-02-06,kids & babies,L1,1131,1052,0.023936508,1023,0.469537,0.158956,0.30142,0.486028,0.053596,0.0279432,0.911131,0.0609253,0.999542,0.000458085,0,0.0435181,0.0233623
INMIX,2021-02-13,fashions,B1,2092,2134,0.016461553,11728,0.56744,0.0539517,0.495504,0.392333,0.0582111,0.0364411,0.93327,0.0302887,0.999054,0.000946521,0,0.0312352,0.0785613
EVISUKURO,2021-02-17,fashions,L1,1192,1050,0.038181876,5582,0.539697,0.0521856,0.475022,0.423283,0.0495094,0.00847458,0.986173,0.00535236,0.998662,0.00133809,0,0.0276539,0.00401427
