store_name,date,type,floor,enter_number,enter_rate,female_number,female_rate,male_number,male_rate,teenager_number,teenager_rate,youth_number,youth_rate,middle-aged_number,middle-aged_rate,senior_number,senior_rate,dropdown
GOFIDisney,2021-02-26,fashions,L3,147,2,90,61,57,39,15,10,42,47,54 ,37,2,6,
GOFIDisney,2021-02-27,fashions,L3,252,2,122,49,130,51,32,13,56,46,86 ,34,4,8,
GOFIDisney,2021-02-28,fashions,L3,274,3,156,57,118,43,37,13,70,45,90 ,33,6,8,
KIDSIMLE,2021-02-01,kids_babies,L3,48,1,32,66,16,34,3,7,15,47,16 ,33,2,14,
KIDSIMLE,2021-02-02,kids_babies,L3,41,1,28,68,13,32,6,15,10,37,16 ,39,1,9,
KIDSIMLE,2021-02-03,kids_babies,L3,44,1,30,68,14,33,4,10,10,33,18 ,40,2,18,
KIDSIMLE,2021-02-04,kids_babies,L3,66,1,39,60,27,41,7,10,20,51,20 ,31,2,8,
KIDSIMLE,2021-02-05,kids_babies,L3,74,1,41,55,33,45,9,12,15,37,27 ,37,2,14,
KIDSIMLE,2021-02-06,kids_babies,L3,124,1,68,55,56,45,13,10,28,42,53 ,43,1,5,
KIDSIMLE,2021-02-07,kids_babies,L3,61,1,42,69,19,31,4,7,13,31,34 ,55,1,7,
KIDSIMLE,2021-02-08,kids_babies,L3,86,1,40,46,46,54,6,7,18,46,36 ,42,1,5,
KIDSIMLE,2021-02-09,kids_babies,L3,95,1,46,48,49,52,10,11,19,42,38 ,40,1,7,
KIDSIMLE,2021-02-10,kids_babies,L3,85,1,43,50,42,50,11,13,18,43,31 ,37,1,7,
KIDSIMLE,2021-02-11,kids_babies,L3,21,0,7,34,14,66,3,16,2,26,11 ,53,0,5,
KIDSIMLE,2021-02-12,kids_babies,L3,32,0,12,37,20,63,5,16,5,43,12 ,39,0,2,
KIDSIMLE,2021-02-13,kids_babies,L3,47,0,27,57,20,43,7,14,10,39,21 ,45,0,2,
KIDSIMLE,2021-02-14,kids_babies,L3,30,0,23,76,7,24,2,5,12,53,9 ,29,2,13,
KIDSIMLE,2021-02-15,kids_babies,L3,71,1,37,52,34,48,4,5,13,36,38 ,53,1,6,
KIDSIMLE,2021-02-16,kids_babies,L3,108,1,54,50,54,50,12,11,22,41,46 ,43,1,5,
KIDSIMLE,2021-02-17,kids_babies,L3,127,1,62,49,65,51,12,10,23,38,58 ,46,2,7,
KIDSIMLE,2021-02-18,kids_babies,L3,68,1,42,61,26,39,9,13,17,40,24 ,36,2,11,
KIDSIMLE,2021-02-19,kids_babies,L3,101,2,56,55,45,45,15,15,24,43,36 ,36,1,6,
KIDSIMLE,2021-02-20,kids_babies,L3,80,1,45,56,35,44,6,8,16,37,35 ,44,2,12,
KIDSIMLE,2021-02-21,kids_babies,L3,92,1,53,58,39,42,10,11,19,36,37 ,40,2,13,
KIDSIMLE,2021-02-22,kids_babies,L3,43,1,25,58,18,42,6,13,13,52,13 ,31,1,4,
KIDSIMLE,2021-02-23,kids_babies,L3,70,1,39,56,31,44,5,6,18,46,29 ,42,1,5,
KIDSIMLE,2021-02-24,kids_babies,L3,55,1,35,64,20,36,6,11,11,31,29 ,53,1,5,
KIDSIMLE,2021-02-25,kids_babies,L3,61,1,40,66,21,34,4,7,22,54,20 ,32,2,8,
KIDSIMLE,2021-02-26,kids_babies,L3,53,1,36,68,17,32,5,10,12,33,27 ,51,1,7,
KIDSIMLE,2021-02-27,kids_babies,L3,90,1,47,52,43,48,11,12,20,43,34 ,38,1,7,
KIDSIMLE,2021-02-28,kids_babies,L3,100,1,61,61,39,39,9,9,25,41,42 ,42,2,8,
LynnMilo,2021-02-01,fashions,L3,214,4,145,68,69,32,40,19,69,47,66 ,31,2,3,
LynnMilo,2021-02-02,fashions,L3,258,4,171,66,87,34,42,16,91,53,67 ,26,4,4,
LynnMilo,2021-02-03,fashions,L3,246,4,152,62,94,38,42,17,72,47,76 ,31,3,4,
LynnMilo,2021-02-04,fashions,L3,182,3,115,63,67,37,43,24,50,44,49 ,27,3,6,
LynnMilo,2021-02-05,fashions,L3,280,4,184,66,96,34,50,18,94,51,76 ,27,3,4,
LynnMilo,2021-02-06,fashions,L3,454,3,286,63,168,37,64,14,151,53,127 ,28,7,5,
LynnMilo,2021-02-07,fashions,L3,294,3,178,61,116,39,57,19,88,49,82 ,28,3,4,
LynnMilo,2021-02-08,fashions,L3,342,4,213,62,129,38,54,16,105,49,106 ,31,4,4,
LynnMilo,2021-02-09,fashions,L3,472,4,311,66,161,34,80,17,155,50,137 ,29,7,5,
LynnMilo,2021-02-10,fashions,L3,467,3,283,61,184,39,78,17,144,51,126 ,27,8,6,
LynnMilo,2021-02-11,fashions,L3,237,4,144,61,93,39,42,18,75,52,64 ,27,2,3,
LynnMilo,2021-02-12,fashions,L3,421,3,257,61,164,39,60,14,129,50,135 ,32,5,4,
LynnMilo,2021-02-13,fashions,L3,427,2,285,67,142,33,59,14,139,49,137 ,32,7,5,
LynnMilo,2021-02-14,fashions,L3,416,2,240,58,176,42,48,12,125,52,129 ,31,7,6,
LynnMilo,2021-02-15,fashions,L3,378,2,244,64,134,36,45,12,130,53,113 ,30,6,5,
LynnMilo,2021-02-16,fashions,L3,423,2,262,62,161,38,56,13,129,49,135 ,32,7,5,
LynnMilo,2021-02-17,fashions,L3,384,2,241,63,143,37,50,13,120,50,123 ,32,6,5,
